date,Construction,Plumbing,Electrical,Boiler,Elevator,MMR Target (Construction),MMR Target (Plumbing),MMR Target (Electrical),MMR Target (Boiler),MMR Target (Elevator),BOC Target
2/1/2019,1.9,2.5,2.7,1.6,2.2,4.5,5.0,6.0,2.16,1.86,3.0
3/1/2019,1.8,2.5,3.1,1.5,2.2,4.5,5.0,6.0,2.16,1.86,3.0
4/1/2019,1.9,2.5,2.3,1.5,2.3,4.5,5.0,6.0,2.16,1.86,3.0
5/1/2019,2.1,2.2,2.2,1.4,1.7,4.5,5.0,6.0,2.16,1.86,3.0
6/1/2019,2.0,2.6,2.8,1.5,2.1,4.5,5.0,6.0,2.16,1.86,3.0
7/1/2019,1.7,2.2,2.5,1.3,2.6,4.5,5.0,6.0,2.16,1.86,3.0
8/1/2019,1.8,2.4,2.3,1.4,2.8,4.5,5.0,6.0,2.16,1.86,3.0
9/1/2019,2.0,2.7,2.3,1.6,2.9,4.5,5.0,6.0,2.16,1.86,3.0
10/1/2019,1.9,2.4,2.3,1.4,1.6,4.5,5.0,6.0,2.16,1.86,3.0
11/1/2019,2.0,2.8,2.7,1.4,3.2,4.5,5.0,6.0,2.16,1.86,3.0
12/1/2019,2.0,2.8,2.5,1.7,3.5,4.5,5.0,6.0,2.16,1.86,3.0
1/1/2020,2.2,2.6,2.3,2.0,3.4,4.5,5.0,6.0,2.16,1.86,3.0
