date,New Buildings,Major Alterations,Minor Alterations,MMR Target (New Buildings),MMR Target (Major Alterations),MMR Target (Minor Alterations),BOC Target (New Buildings),BOC Target (Major Alterations),BOC Target (Minor Alterations)
3/1/2019,6.5,6.1,2.4,12,10,4,10,10,2
4/1/2019,6.3,6.2,2.6,12,10,4,10,10,2
5/1/2019,6.8,6.6,2.4,12,10,4,10,10,2
6/1/2019,6.4,6.7,2.7,12,10,4,10,10,2
7/1/2019,9.0,9.6,4.2,12,10,4,10,10,2
8/1/2019,8.8,7.6,3.1,12,10,4,10,10,2
9/1/2019,7.6,8.3,3.2,12,10,4,10,10,2
10/1/2019,8.1,8.8,2.8,12,10,4,10,10,2
11/1/2019,8.2,7.5,2.9,12,10,4,10,10,2
12/1/2019,7.4,9.6,3.5,12,10,4,10,10,2
1/1/2020,8.2,10.2,4.0,12,10,4,10,10,2
2/1/2020,6.8,8.3,3.2,12,10,4,10,10,2
